f [Hz],Uin [V],Uout [V],faza [deg],Ku [dB],dupa,freq
100,0.192,3.4,180,24.96,19,100
1000,0.192,3.4,-178,24.96,19,1000
10000,0.2,2.84,-160,23.05,19,10000
50000,0.196,2.6,132,22.45,19,50000
100000,0.2,1.76,-120,18.89,19,100000
120000,0.216,1.76,115,18.22,19,120000
130000,0.216,1.64,-113,17.61,19,130000
140000,0.216,1.56,-160,17.17,19,140000
150000,0.216,1.44,114,16.48,19,150000
200000,0.216,1.12,-61,14.3,19,200000
300000,0.216,0.76,103,10.93,19,300000
400000,0.22,0.6,82,8.71,19,400000
510000,0.22,0.52,-82,7.47,19,510000
600000,0.22,0.44,-66,6.02,19,600000
760000,0.22,0.36,-40,4.28,19,760000
940000,0.22,0.32,-49,3.25,19,940000
2000000,0.22,0.16,-55,-2.77,19,2000000
