Freq.	V(n002)
1.00000000000000e+00	(2.31647760205149e+01dB,1.79568051149730e+02°)
1.12201845430196e+00	(2.31647121263735e+01dB,1.79515347795182e+02°)
1.25892541179417e+00	(2.31646316897518e+01dB,1.79456214639104e+02°)
1.41253754462275e+00	(2.31645304281630e+01dB,1.79389867531422e+02°)
1.58489319246111e+00	(2.31644029507328e+01dB,1.79315426808060e+02°)
1.77827941003892e+00	(2.31642424714768e+01dB,1.79231905705237e+02°)
1.99526231496888e+00	(2.31640404484949e+01dB,1.79138197388446e+02°)
2.23872113856834e+00	(2.31637861299910e+01dB,1.79033060438746e+02°)
2.51188643150958e+00	(2.31634659831384e+01dB,1.78915102624607e+02°)
2.81838293126445e+00	(2.31630629756844e+01dB,1.78782762773372e+02°)
3.16227766016838e+00	(2.31625556725295e+01dB,1.78634290543225e+02°)
3.54813389233575e+00	(2.31619170999451e+01dB,1.78467723885746e+02°)
3.98107170553497e+00	(2.31611133181767e+01dB,1.78280863982394e+02°)
4.46683592150963e+00	(2.31601016283632e+01dB,1.78071247438488e+02°)
5.01187233627272e+00	(2.31588283213630e+01dB,1.77836115529214e+02°)
5.62341325190348e+00	(2.31572258534694e+01dB,1.77572380319593e+02°)
6.30957344480192e+00	(2.31552093063025e+01dB,1.77276587532061e+02°)
7.07945784384137e+00	(2.31526719544938e+01dB,1.76944876122582e+02°)
7.94328234724280e+00	(2.31494797242767e+01dB,1.76572934664404e+02°)
8.91250938133744e+00	(2.31454642780496e+01dB,1.76155954849160e+02°)
9.99999999999998e+00	(2.31404144040854e+01dB,1.75688582726957e+02°)
1.12201845430196e+01	(2.31340653273381e+01dB,1.75164868759367e+02°)
1.25892541179416e+01	(2.31260854887261e+01dB,1.74578218402966e+02°)
1.41253754462275e+01	(2.31160602708654e+01dB,1.73921345841826e+02°)
1.58489319246111e+01	(2.31034720865696e+01dB,1.73186234725903e+02°)
1.77827941003892e+01	(2.30876762074769e+01dB,1.72364111442722e+02°)
1.99526231496888e+01	(2.30678717183442e+01dB,1.71445438651440e+02°)
2.23872113856833e+01	(2.30430670758727e+01dB,1.70419939626587e+02°)
2.51188643150957e+01	(2.30120399855965e+01dB,1.69276667426485e+02°)
2.81838293126445e+01	(2.29732917649638e+01dB,1.68004136930615e+02°)
3.16227766016837e+01	(2.29249971374695e+01dB,1.66590542061176e+02°)
3.54813389233575e+01	(2.28649516206334e+01dB,1.65024084301178e+02°)
3.98107170553496e+01	(2.27905204429373e+01dB,1.63293440623899e+02°)
4.46683592150962e+01	(2.26985953080905e+01dB,1.61388397019271e+02°)
5.01187233627271e+01	(2.25855682285255e+01dB,1.59300664899232e+02°)
5.62341325190347e+01	(2.24473347018647e+01dB,1.57024878107101e+02°)
6.30957344480191e+01	(2.22793408981693e+01dB,1.54559734711995e+02°)
7.07945784384136e+01	(2.20766899301677e+01dB,1.51909199289551e+02°)
7.94328234724279e+01	(2.18343189583791e+01dB,1.49083622489279e+02°)
8.91250938133743e+01	(2.15472502291038e+01dB,1.46100578479623e+02°)
9.99999999999997e+01	(2.12109046945261e+01dB,1.42985189827144e+02°)
1.12201845430196e+02	(2.08214485528598e+01dB,1.39769730434079e+02°)
1.25892541179416e+02	(2.03761258662073e+01dB,1.36492389327239e+02°)
1.41253754462275e+02	(1.98735214427290e+01dB,1.33195236252972e+02°)
1.58489319246111e+02	(1.93137035264116e+01dB,1.29921615498806e+02°)
1.77827941003892e+02	(1.86982168001730e+01dB,1.26713343788595e+02°)
1.99526231496887e+02	(1.80299271817398e+01dB,1.23608142088342e+02°)
2.23872113856833e+02	(1.73127503494951e+01dB,1.20637666850606e+02°)
2.51188643150957e+02	(1.65513156123481e+01dB,1.17826350771665e+02°)
2.81838293126444e+02	(1.57506206467540e+01dB,1.15191077744824e+02°)
3.16227766016837e+02	(1.49157226141556e+01dB,1.12741563422757e+02°)
3.54813389233574e+02	(1.40514936129413e+01dB,1.10481227332293e+02°)
3.98107170553496e+02	(1.31624502971677e+01dB,1.08408327154308e+02°)
4.46683592150961e+02	(1.22526535349702e+01dB,1.06517160206027e+02°)
5.01187233627270e+02	(1.13256658541975e+01dB,1.04799194414871e+02°)
5.62341325190347e+02	(1.03845515141609e+01dB,1.03244049423277e+02°)
6.30957344480191e+02	(9.43190469492004e+00dB,1.01840295669117e+02°)
7.07945784384135e+02	(8.46989379630522e+00dB,1.00576071468054e+02°)
7.94328234724278e+02	(7.50031290317066e+00dB,9.94395365614912e+01°)
8.91250938133742e+02	(6.52463434002661e+00dB,9.84191887181413e+01°)
9.99999999999995e+02	(5.54405856711521e+00dB,9.75040714369803e+01°)
1.12201845430196e+03	(4.55955938879561e+00dB,9.66838985586209e+01°)
1.25892541179416e+03	(3.57192361856647e+00dB,9.59491177070117e+01°)
1.41253754462275e+03	(2.58178508848002e+00dB,9.52909302107327e+01°)
1.58489319246111e+03	(1.58965332231274e+00dB,9.47012811644548e+01°)
1.77827941003891e+03	(5.95937411850644e-01dB,9.41728298793509e+01°)
1.99526231496887e+03	(-3.99034279475907e-01dB,9.36989082094535e+01°)
2.23872113856833e+03	(-1.39499795718640e+00dB,9.32734720891873e+01°)
2.51188643150957e+03	(-2.39174119198622e+00dB,9.28910499877340e+01°)
2.81838293126444e+03	(-3.38909214337554e+00dB,9.25466907790885e+01°)
3.16227766016836e+03	(-4.38691074877924e+00dB,9.22359126495267e+01°)
3.54813389233573e+03	(-5.38508148055527e+00dB,9.19546540373160e+01°)
3.98107170553495e+03	(-6.38350733081151e+00dB,9.16992271587284e+01°)
4.46683592150961e+03	(-7.38210473281389e+00dB,9.14662743698623e+01°)
5.01187233627269e+03	(-8.38079916716446e+00dB,9.12527274076077e+01°)
5.62341325190346e+03	(-9.37952123081813e+00dB,9.10557694172169e+01°)
6.30957344480189e+03	(-1.03782029676199e+01dB,9.08727995878471e+01°)
7.07945784384134e+03	(-1.13767742706380e+01dB,9.07014001664673e+01°)
7.94328234724277e+03	(-1.23751591692712e+01dB,9.05393055943721e+01°)
8.91250938133740e+03	(-1.33732718078252e+01dB,9.03843735023211e+01°)
9.99999999999994e+03	(-1.43710119066234e+01dB,9.02345573057028e+01°)
1.12201845430196e+04	(-1.53682594710789e+01dB,9.00878801578863e+01°)
1.25892541179416e+04	(-1.63648684775408e+01dB,8.99424100476729e+01°)
1.41253754462275e+04	(-1.73606592159300e+01dB,8.97962358667580e+01°)
1.58489319246110e+04	(-1.83554089067709e+01dB,8.96474443283625e+01°)
1.77827941003891e+04	(-1.93488401328084e+01dB,8.94940976936430e+01°)
1.99526231496887e+04	(-2.03406065318228e+01dB,8.93342123651528e+01°)
2.23872113856832e+04	(-2.13302750871992e+01dB,8.91657385461265e+01°)
2.51188643150956e+04	(-2.23173042276190e+01dB,8.89865413528611e+01°)
2.81838293126443e+04	(-2.33010168112928e+01dB,8.87943840197909e+01°)
3.16227766016836e+04	(-2.42805669330239e+01dB,8.85869141693586e+01°)
3.54813389233573e+04	(-2.52548993720164e+01dB,8.83616545470203e+01°)
3.98107170553494e+04	(-2.62227004256647e+01dB,8.81160001548841e+01°)
4.46683592150960e+04	(-2.71823388998346e+01dB,8.78472243482609e+01°)
5.01187233627269e+04	(-2.81317962269536e+01dB,8.75524971454765e+01°)
5.62341325190345e+04	(-2.90685851734665e+01dB,8.72289196360295e+01°)
6.30957344480188e+04	(-2.99896575356713e+01dB,8.68735787398566e+01°)
7.07945784384133e+04	(-3.08913028100777e+01dB,8.64836262873686e+01°)
7.94328234724275e+04	(-3.17690422923188e+01dB,8.60563848406584e+01°)
8.91250938133739e+04	(-3.26175266174858e+01dB,8.55894789758225e+01°)
9.99999999999992e+04	(-3.34304494886910e+01dB,8.50809837968854e+01°)
1.12201845430195e+05	(-3.42004960259522e+01dB,8.45295712100069e+01°)
1.25892541179416e+05	(-3.49193500141679e+01dB,8.39346185892945e+01°)
1.41253754462274e+05	(-3.55777887055083e+01dB,8.32962253029642e+01°)
1.58489319246110e+05	(-3.61658941398586e+01dB,8.26150646194669e+01°)
1.77827941003891e+05	(-3.66734029434207e+01dB,8.18919901675068e+01°)
1.99526231496886e+05	(-3.70901994619688e+01dB,8.11273285081543e+01°)
2.23872113856832e+05	(-3.74069295115659e+01dB,8.03198315728892e+01°)
2.51188643150956e+05	(-3.76156782536896e+01dB,7.94653335299627e+01°)
2.81838293126443e+05	(-3.77106255974395e+01dB,7.85552370968533e+01°)
3.16227766016835e+05	(-3.76885794972170e+01dB,7.75750090265709e+01°)
3.54813389233572e+05	(-3.75493028801976e+01dB,7.65028578778358e+01°)
3.98107170553494e+05	(-3.72955962417105e+01dB,7.53086896457733e+01°)
4.46683592150959e+05	(-3.69331656302019e+01dB,7.39533234397175e+01°)
5.01187233627268e+05	(-3.64703764789441e+01dB,7.23878748261760e+01°)
